lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
8.7,0.736,0.725,0.026,0.1374,0.0045060018953906,"[0.1346, 0.1402]",5,0.15
8.8,0.736,0.725,0.026,0.1379,0.0044694472218262,"[0.1351, 0.1406]",5,0.16
8.9,0.736,0.724,0.026,0.1384,0.0044329735697721,"[0.1356, 0.1411]",5,0.16
9.0,0.735,0.724,0.026,0.1389,0.0043966031461038,"[0.1362, 0.1416]",5,0.15
9.1,0.735,0.724,0.026,0.1394,0.0043603597001742,"[0.1367, 0.1421]",5,0.16
9.2,0.734,0.724,0.025,0.14,0.0043242686669187,"[0.1373, 0.1427]",5,0.15
9.3,0.734,0.723,0.025,0.1406,0.0042883572298492,"[0.1379, 0.1432]",5,0.16
9.4,0.733,0.723,0.025,0.1412,0.0042526543991008,"[0.1385, 0.1438]",5,0.15
9.5,0.733,0.722,0.025,0.1418,0.0042171910227667,"[0.1391, 0.1444]",5,0.15
9.6,0.732,0.722,0.025,0.1424,0.0041819998805689,"[0.1398, 0.1450]",5,0.16
9.7,0.731,0.721,0.025,0.143,0.0041471157151158,"[0.1405, 0.1456]",5,0.15
9.8,0.73,0.72,0.025,0.1437,0.004112575260164,"[0.1412, 0.1463]",5,0.16
9.9,0.73,0.719,0.025,0.1444,0.0040784172436692,"[0.1419, 0.1469]",5,0.15
10.0,0.729,0.719,0.025,0.1451,0.0040446823654427,"[0.1426, 0.1476]",5,0.15
10.1,0.728,0.718,0.025,0.1457,0.0039931092447986,"[0.1432, 0.1482]",4,0.15
10.2,0.727,0.718,0.025,0.1463,0.0039389321413581,"[0.1438, 0.1487]",4,0.15
10.3,0.725,0.717,0.025,0.1469,0.0038847311425019,"[0.1445, 0.1493]",4,0.15
10.4,0.724,0.716,0.024,0.1475,0.0038305177382666,"[0.1451, 0.1499]",4,0.16
10.499999999999998,0.723,0.715,0.024,0.1482,0.003776303430952,"[0.1458, 0.1505]",4,0.16
10.599999999999998,0.722,0.714,0.024,0.1489,0.003722098152064,"[0.1466, 0.1512]",4,0.16
10.699999999999998,0.72,0.713,0.024,0.1496,0.0036679110395791,"[0.1473, 0.1518]",4,0.15
10.799999999999995,0.719,0.713,0.024,0.1503,0.0036137509604253,"[0.1481, 0.1525]",4,0.16
10.899999999999997,0.717,0.711,0.024,0.1511,0.0035596251481015,"[0.1489, 0.1533]",4,0.15
10.999999999999996,0.716,0.711,0.023,0.1519,0.0035055003044592,"[0.1497, 0.1541]",4,0.15
11.099999999999996,0.714,0.71,0.024,0.1527,0.0034514876149537,"[0.1506, 0.1549]",4,0.15
11.199999999999996,0.712,0.709,0.024,0.1535,0.0033933598048533,"[0.1514, 0.1556]",3,0.16
11.299999999999995,0.711,0.707,0.024,0.154,0.0033268198591484,"[0.1519, 0.1560]",3,0.15
11.399999999999997,0.709,0.707,0.024,0.1545,0.0032608391215417,"[0.1525, 0.1565]",3,0.15
11.499999999999996,0.708,0.705,0.023,0.155,0.0031954828404495,"[0.1531, 0.1570]",3,0.16
11.599999999999994,0.707,0.704,0.023,0.1556,0.0031307532206983,"[0.1537, 0.1575]",3,0.15
11.699999999999994,0.706,0.703,0.023,0.1561,0.0030683043613744,"[0.1542, 0.1580]",2,0.15
11.799999999999994,0.705,0.702,0.023,0.1567,0.0030072552517249,"[0.1548, 0.1585]",2,0.16
11.899999999999991,0.704,0.701,0.023,0.1572,0.0029465404586634,"[0.1554, 0.1590]",2,0.16
11.999999999999991,0.703,0.7,0.023,0.1578,0.0028861835702918,"[0.1560, 0.1596]",2,0.15
12.099999999999993,0.702,0.699,0.023,0.1583,0.0028262098435596,"[0.1566, 0.1601]",2,0.15
12.199999999999992,0.701,0.698,0.023,0.1589,0.0027666463475025,"[0.1572, 0.1607]",2,0.15
12.299999999999992,0.699,0.696,0.023,0.1596,0.0027075221644776,"[0.1579, 0.1612]",2,0.15
12.399999999999991,0.698,0.694,0.023,0.1602,0.0026488686301153,"[0.1585, 0.1618]",2,0.15
12.499999999999991,0.696,0.693,0.022,0.1608,0.0025907196185475,"[0.1592, 0.1624]",2,0.16
12.59999999999999,0.694,0.69,0.022,0.1615,0.0025331118808914,"[0.1600, 0.1631]",2,0.16
12.69999999999999,0.692,0.688,0.022,0.1622,0.0024760854443428,"[0.1607, 0.1638]",2,0.15
12.79999999999999,0.689,0.684,0.021,0.1626,0.002418327521656,"[0.1611, 0.1641]",1,0.15
12.89999999999999,0.689,0.684,0.021,0.1625,0.0023587931652485,"[0.1611, 0.1640]",1,0.16
12.99999999999999,0.689,0.684,0.021,0.1625,0.0022992296539385,"[0.1610, 0.1639]",1,0.16
13.099999999999987,0.689,0.684,0.021,0.1624,0.0022395866183788,"[0.1610, 0.1638]",1,0.16
13.199999999999989,0.689,0.684,0.021,0.1623,0.0021798659696654,"[0.1610, 0.1637]",1,0.16
13.299999999999988,0.689,0.684,0.021,0.1622,0.0021200745930313,"[0.1609, 0.1636]",1,0.15
13.399999999999988,0.689,0.684,0.021,0.1622,0.0020602009060607,"[0.1609, 0.1634]",1,0.15
13.499999999999988,0.689,0.684,0.021,0.1621,0.0020002503330298,"[0.1609, 0.1633]",1,0.15
13.599999999999987,0.689,0.684,0.021,0.162,0.0019402220408517,"[0.1608, 0.1632]",1,0.15
13.699999999999989,0.689,0.684,0.021,0.162,0.0018801151946731,"[0.1608, 0.1631]",1,0.15
13.799999999999986,0.689,0.684,0.021,0.1619,0.0018199289580164,"[0.1608, 0.1630]",1,0.17
13.899999999999986,0.689,0.684,0.021,0.1618,0.0017596624929241,"[0.1607, 0.1629]",1,0.16
13.999999999999986,0.689,0.684,0.021,0.1617,0.0016993149601038,"[0.1607, 0.1628]",1,0.17
14.099999999999984,0.689,0.684,0.021,0.1617,0.0016388855190751,"[0.1607, 0.1627]",1,0.17
14.199999999999983,0.689,0.684,0.021,0.1616,0.0015783733283182,"[0.1606, 0.1626]",1,0.16
14.299999999999985,0.689,0.684,0.021,0.1615,0.0015177775454232,"[0.1606, 0.1625]",1,0.16
14.399999999999984,0.689,0.684,0.021,0.1615,0.0014570973272417,"[0.1606, 0.1624]",1,0.16
14.499999999999984,0.689,0.684,0.021,0.1614,0.0013963318300393,"[0.1606, 0.1623]",1,0.16
14.599999999999984,0.689,0.684,0.021,0.1614,0.0013354802096493,"[0.1605, 0.1622]",1,0.17
14.699999999999983,0.689,0.684,0.021,0.1613,0.0012745416216285,"[0.1605, 0.1621]",1,0.16
14.799999999999985,0.689,0.684,0.021,0.1612,0.0012135152214137,"[0.1605, 0.1620]",1,0.15
14.899999999999984,0.689,0.684,0.021,0.1612,0.0011524001644804,"[0.1605, 0.1619]",1,0.15
14.999999999999982,0.689,0.684,0.021,0.1611,0.0010911956065016,"[0.1604, 0.1618]",1,0.16
15.099999999999982,0.689,0.684,0.021,0.161,0.0010299007035093,"[0.1604, 0.1617]",1,0.16
15.199999999999982,0.689,0.684,0.021,0.161,0.0009685146120568,"[0.1604, 0.1616]",1,0.16
15.29999999999998,0.689,0.684,0.021,0.1609,0.0009070364893816,"[0.1604, 0.1615]",1,0.16
15.39999999999998,0.689,0.684,0.021,0.1609,0.0008454654935713,"[0.1603, 0.1614]",1,0.16
15.49999999999998,0.689,0.684,0.021,0.1608,0.0007838007837292,"[0.1603, 0.1613]",1,0.16
15.59999999999998,0.689,0.684,0.021,0.1608,0.000722041520142,"[0.1603, 0.1612]",1,0.17
15.69999999999998,0.689,0.684,0.021,0.1607,0.0006601868644485,"[0.1603, 0.1611]",1,0.17
15.79999999999998,0.689,0.684,0.021,0.1606,0.0005982359798099,"[0.1603, 0.1610]",1,0.16
15.89999999999998,0.689,0.684,0.021,0.1606,0.0005361880310812,"[0.1603, 0.1609]",1,0.16
