lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
12.0,0.703,0.7,0.023,0.1578,2,0.28
12.1,0.702,0.699,0.023,0.1583,2,0.28
12.2,0.701,0.698,0.023,0.1589,2,0.28
12.3,0.699,0.696,0.023,0.1596,2,0.28
12.4,0.698,0.694,0.023,0.1602,2,0.28
12.5,0.696,0.693,0.022,0.1608,2,0.28
12.6,0.694,0.69,0.022,0.1615,2,0.29
12.7,0.692,0.688,0.022,0.1622,2,0.28
12.8,0.689,0.684,0.021,0.1626,1,0.28
12.9,0.689,0.684,0.021,0.1625,1,0.29
13.0,0.689,0.684,0.021,0.1625,1,0.28
13.1,0.689,0.684,0.021,0.1624,1,0.28
13.2,0.689,0.684,0.021,0.1623,1,0.28
13.3,0.689,0.684,0.021,0.1622,1,0.28
13.4,0.689,0.684,0.021,0.1622,1,0.28
13.5,0.689,0.684,0.021,0.1621,1,0.28
13.6,0.689,0.684,0.021,0.162,1,0.28
13.7,0.689,0.684,0.021,0.162,1,0.28
13.8,0.689,0.684,0.021,0.1619,1,0.28
13.9,0.689,0.684,0.021,0.1618,1,0.28
14.0,0.689,0.684,0.021,0.1617,1,0.28
14.1,0.689,0.684,0.021,0.1617,1,0.28
14.2,0.689,0.684,0.021,0.1616,1,0.28
14.3,0.689,0.684,0.021,0.1615,1,0.3
14.4,0.689,0.684,0.021,0.1615,1,0.29
14.5,0.689,0.684,0.021,0.1614,1,0.28
14.6,0.689,0.684,0.021,0.1614,1,0.28
14.7,0.689,0.684,0.021,0.1613,1,0.28
14.8,0.689,0.684,0.021,0.1612,1,0.28
14.9,0.689,0.684,0.021,0.1612,1,0.28
15.0,0.689,0.684,0.021,0.1611,1,0.28
15.1,0.689,0.684,0.021,0.161,1,0.28
15.2,0.689,0.684,0.021,0.161,1,0.28
15.3,0.689,0.684,0.021,0.1609,1,0.28
15.4,0.689,0.684,0.021,0.1609,1,0.29
15.5,0.689,0.684,0.021,0.1608,1,0.28
15.6,0.689,0.684,0.021,0.1608,1,0.28
15.7,0.689,0.684,0.021,0.1607,1,0.28
15.8,0.689,0.684,0.021,0.1606,1,0.29
15.9,0.689,0.684,0.021,0.1606,1,0.28
16.0,0.689,0.684,0.021,0.1605,1,0.3
16.1,0.689,0.684,0.021,0.1605,1,0.3
16.200000000000003,0.689,0.684,0.021,0.1604,1,0.28
16.3,0.689,0.684,0.021,0.1604,1,0.3
16.4,0.689,0.684,0.021,0.1603,1,0.29
16.5,0.689,0.684,0.021,0.1603,1,0.31
16.6,0.689,0.684,0.021,0.1602,1,0.28
16.700000000000003,0.689,0.684,0.021,0.1602,1,0.29
