lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
14.899999999999984,0.689,0.684,0.021,0.1612,1,0.15
14.999999999999982,0.689,0.684,0.021,0.1611,1,0.15
15.099999999999982,0.689,0.684,0.021,0.161,1,0.16
15.199999999999982,0.689,0.684,0.021,0.161,1,0.15
15.29999999999998,0.689,0.684,0.021,0.1609,1,0.15
15.39999999999998,0.689,0.684,0.021,0.1609,1,0.15
15.49999999999998,0.689,0.684,0.021,0.1608,1,0.15
15.59999999999998,0.689,0.684,0.021,0.1608,1,0.15
15.69999999999998,0.689,0.684,0.021,0.1607,1,0.15
15.79999999999998,0.689,0.684,0.021,0.1606,1,0.15
15.89999999999998,0.689,0.684,0.021,0.1606,1,0.15
