lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
10.59999999999998,0.722,0.714,0.024,0.1489,0.0037220981215297,"[0.1466, 0.1512]",4,0.15
10.69999999999998,0.72,0.713,0.024,0.1496,0.0036679110089937,"[0.1473, 0.1518]",4,0.15
10.79999999999998,0.719,0.713,0.024,0.1503,0.0036137509297767,"[0.1481, 0.1525]",4,0.15
10.89999999999998,0.717,0.711,0.024,0.1511,0.0035596251173621,"[0.1489, 0.1533]",4,0.15
10.99999999999998,0.716,0.711,0.023,0.1519,0.0035055000003316,"[0.1497, 0.1541]",4,0.15
11.099999999999978,0.714,0.71,0.024,0.1527,0.0034514587824182,"[0.1506, 0.1549]",4,0.15
11.199999999999978,0.712,0.709,0.024,0.1535,0.0033933597382551,"[0.1514, 0.1556]",3,0.15
11.299999999999978,0.711,0.707,0.024,0.154,0.0033268198082255,"[0.1519, 0.1560]",3,0.15
11.399999999999975,0.709,0.707,0.024,0.1545,0.0032608390322866,"[0.1525, 0.1565]",3,0.15
11.499999999999975,0.708,0.705,0.023,0.155,0.0031954827522107,"[0.1531, 0.1570]",3,0.16
11.599999999999977,0.707,0.704,0.023,0.1556,0.0031307532210963,"[0.1537, 0.1575]",3,0.15
11.699999999999976,0.706,0.703,0.023,0.1561,0.0030683043618658,"[0.1542, 0.1580]",2,0.15
11.799999999999976,0.705,0.702,0.023,0.1567,0.003007255251731,"[0.1548, 0.1585]",2,0.15
11.899999999999975,0.704,0.701,0.023,0.1572,0.0029465404586674,"[0.1554, 0.1590]",2,0.15
11.999999999999975,0.703,0.7,0.023,0.1578,0.0028861835702935,"[0.1560, 0.1596]",2,0.15
12.099999999999977,0.702,0.699,0.023,0.1583,0.0028262098435596,"[0.1566, 0.1601]",2,0.15
12.199999999999974,0.701,0.698,0.023,0.1589,0.0027666463475025,"[0.1572, 0.1607]",2,0.15
12.299999999999974,0.699,0.696,0.023,0.1596,0.0027075221644776,"[0.1579, 0.1612]",2,0.15
12.399999999999974,0.698,0.694,0.023,0.1602,0.0026488686301153,"[0.1585, 0.1618]",2,0.15
12.499999999999972,0.696,0.693,0.022,0.1608,0.0025907196185475,"[0.1592, 0.1624]",2,0.15
12.599999999999971,0.694,0.69,0.022,0.1615,0.0025331118808914,"[0.1600, 0.1631]",2,0.15
12.699999999999973,0.692,0.688,0.022,0.1622,0.0024760854443428,"[0.1607, 0.1638]",2,0.15
12.799999999999972,0.689,0.684,0.021,0.1626,0.002418327521656,"[0.1611, 0.1641]",1,0.15
12.899999999999972,0.689,0.684,0.021,0.1625,0.0023587931652486,"[0.1611, 0.1640]",1,0.15
12.999999999999972,0.689,0.684,0.021,0.1625,0.0022992296539385,"[0.1610, 0.1639]",1,0.15
13.099999999999971,0.689,0.684,0.021,0.1624,0.0022395866183788,"[0.1610, 0.1638]",1,0.15
13.19999999999997,0.689,0.684,0.021,0.1623,0.0021798659696654,"[0.1610, 0.1637]",1,0.15
13.29999999999997,0.689,0.684,0.021,0.1622,0.0021200745930313,"[0.1609, 0.1636]",1,0.15
13.39999999999997,0.689,0.684,0.021,0.1622,0.0020602009060607,"[0.1609, 0.1634]",1,0.15
13.49999999999997,0.689,0.684,0.021,0.1621,0.0020002503330298,"[0.1609, 0.1633]",1,0.15
13.59999999999997,0.689,0.684,0.021,0.162,0.0019402220408517,"[0.1608, 0.1632]",1,0.15
13.699999999999967,0.689,0.684,0.021,0.162,0.0018801151946731,"[0.1608, 0.1631]",1,0.15
13.799999999999969,0.689,0.684,0.021,0.1619,0.0018199289580164,"[0.1608, 0.1630]",1,0.15
13.899999999999968,0.689,0.684,0.021,0.1618,0.0017596624929242,"[0.1607, 0.1629]",1,0.15
13.999999999999968,0.689,0.684,0.021,0.1617,0.0016993149601038,"[0.1607, 0.1628]",1,0.15
14.099999999999968,0.689,0.684,0.021,0.1617,0.0016388855190751,"[0.1607, 0.1627]",1,0.15
14.199999999999967,0.689,0.684,0.021,0.1616,0.0015783733283182,"[0.1606, 0.1626]",1,0.15
14.299999999999969,0.689,0.684,0.021,0.1615,0.0015177775454232,"[0.1606, 0.1625]",1,0.15
14.399999999999968,0.689,0.684,0.021,0.1615,0.0014570973272417,"[0.1606, 0.1624]",1,0.15
14.499999999999966,0.689,0.684,0.021,0.1614,0.0013963318300393,"[0.1606, 0.1623]",1,0.15
14.599999999999966,0.689,0.684,0.021,0.1614,0.0013354802096493,"[0.1605, 0.1622]",1,0.15
14.699999999999966,0.689,0.684,0.021,0.1613,0.0012745416216285,"[0.1605, 0.1621]",1,0.15
14.799999999999963,0.689,0.684,0.021,0.1612,0.0012135152214138,"[0.1605, 0.1620]",1,0.16
14.899999999999965,0.689,0.684,0.021,0.1612,0.0011524001644804,"[0.1605, 0.1619]",1,0.16
14.999999999999964,0.689,0.684,0.021,0.1611,0.0010911956065016,"[0.1604, 0.1618]",1,0.17
15.099999999999964,0.689,0.684,0.021,0.161,0.0010299007035093,"[0.1604, 0.1617]",1,0.17
15.199999999999964,0.689,0.684,0.021,0.161,0.0009685146120568,"[0.1604, 0.1616]",1,0.15
15.299999999999963,0.689,0.684,0.021,0.1609,0.0009070364893816,"[0.1604, 0.1615]",1,0.15
15.399999999999965,0.689,0.684,0.021,0.1609,0.0008454654935713,"[0.1603, 0.1614]",1,0.15
15.499999999999964,0.689,0.684,0.021,0.1608,0.0007838007837293,"[0.1603, 0.1613]",1,0.15
15.599999999999962,0.689,0.684,0.021,0.1608,0.000722041520142,"[0.1603, 0.1612]",1,0.15
15.699999999999962,0.689,0.684,0.021,0.1607,0.0006601868644485,"[0.1603, 0.1611]",1,0.15
15.799999999999962,0.689,0.684,0.021,0.1606,0.00059823597981,"[0.1603, 0.1610]",1,0.15
15.89999999999996,0.689,0.684,0.021,0.1606,0.0005361880310812,"[0.1603, 0.1609]",1,0.15
15.99999999999996,0.689,0.684,0.021,0.1605,0.0004740421849832,"[0.1602, 0.1608]",1,0.15
16.09999999999996,0.689,0.684,0.021,0.1605,0.000411797610277,"[0.1602, 0.1607]",1,0.16
