lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
9.6,0.732,0.722,0.025,0.1424,0.004181999744046903,"[0.1398, 0.1450]",5,0.16
9.700000000000001,0.731,0.721,0.025,0.143,0.0041471155786512275,"[0.1405, 0.1456]",5,0.15
9.8,0.73,0.72,0.025,0.1437,0.004112575123946894,"[0.1412, 0.1463]",5,0.16
9.9,0.73,0.719,0.025,0.1444,0.0040784171082327795,"[0.1419, 0.1469]",5,0.15
10.0,0.729,0.719,0.025,0.1451,0.004044682230006844,"[0.1426, 0.1476]",5,0.16
10.1,0.728,0.718,0.025,0.1457,0.003993109157661259,"[0.1432, 0.1482]",4,0.15
10.200000000000001,0.727,0.718,0.025,0.1463,0.003938932071169395,"[0.1438, 0.1487]",4,0.16
10.3,0.725,0.717,0.025,0.1469,0.0038847311137654157,"[0.1445, 0.1493]",4,0.15
10.4,0.724,0.716,0.024,0.1475,0.0038305177090325517,"[0.1451, 0.1499]",4,0.16
10.5,0.723,0.715,0.024,0.1482,0.003776303401316845,"[0.1458, 0.1505]",4,0.15
10.6,0.722,0.714,0.024,0.1489,0.003722098121242918,"[0.1466, 0.1512]",4,0.16
10.700000000000001,0.72,0.713,0.024,0.1496,0.0036679110087735217,"[0.1473, 0.1518]",4,0.16
10.8,0.719,0.713,0.024,0.1503,0.003613750929624357,"[0.1481, 0.1525]",4,0.16
10.9,0.717,0.711,0.024,0.1511,0.0035596251172857404,"[0.1489, 0.1533]",4,0.16
11.0,0.716,0.711,0.023,0.1519,0.0035055000003316457,"[0.1497, 0.1541]",4,0.15
11.1,0.714,0.71,0.024,0.1527,0.0034514587824182007,"[0.1506, 0.1549]",4,0.16
11.200000000000001,0.712,0.709,0.024,0.1535,0.0033933597382551383,"[0.1514, 0.1556]",3,0.16
11.3,0.711,0.707,0.024,0.154,0.0033268198082255043,"[0.1519, 0.1560]",3,0.16
11.4,0.709,0.707,0.024,0.1545,0.0032608391230888253,"[0.1525, 0.1565]",3,0.16
11.5,0.708,0.705,0.023,0.155,0.0031954828416087084,"[0.1531, 0.1570]",3,0.16
11.6,0.707,0.704,0.023,0.1556,0.003130753220698322,"[0.1537, 0.1575]",3,0.16
11.700000000000001,0.706,0.703,0.023,0.1561,0.0030683043613743996,"[0.1542, 0.1580]",2,0.16
11.8,0.705,0.702,0.023,0.1567,0.0030072552517249507,"[0.1548, 0.1585]",2,0.15
11.9,0.704,0.701,0.023,0.1572,0.0029465404586634884,"[0.1554, 0.1590]",2,0.16
12.0,0.703,0.7,0.023,0.1578,0.0028861835702918633,"[0.1560, 0.1596]",2,0.15
